"fetch_type","date","timestamp","value","value_classification"
"daily_fetch","2025-12-18","1766016000","22","Fear"
"daily_fetch","2025-12-17","1765929600","25","Fear"
"daily_fetch","2025-12-16","1765843200","22","Fear"
"daily_fetch","2025-12-15","1765756800","24","Fear"
"daily_fetch","2025-12-14","1765670400","27","Fear"
"daily_fetch","2025-12-13","1765584000","26","Fear"
"daily_fetch","2025-12-12","1765497600","29","Fear"
"daily_fetch","2025-12-11","1765411200","29","Fear"
"daily_fetch","2025-12-10","1765324800","30","Fear"
"daily_fetch","2025-12-09","1765238400","25","Fear"
"daily_fetch","2025-12-08","1765152000","24","Fear"
"daily_fetch","2025-12-07","1765065600","22","Fear"
"daily_fetch","2025-12-06","1764979200","21","Fear"
"daily_fetch","2025-12-05","1764892800","25","Fear"
"daily_fetch","2025-12-04","1764806400","27","Fear"
"daily_fetch","2025-12-03","1764720000","22","Fear"
"daily_fetch","2025-12-02","1764633600","16","Extreme fear"
"daily_fetch","2025-12-01","1764547200","20","Fear"
"daily_fetch","2025-11-30","1764460800","20","Fear"
"daily_fetch","2025-11-29","1764374400","20","Fear"
"daily_fetch","2025-11-28","1764288000","20","Fear"
"daily_fetch","2025-11-27","1764201600","18","Extreme fear"
"daily_fetch","2025-11-26","1764115200","15","Extreme fear"
"daily_fetch","2025-11-25","1764028800","15","Extreme fear"
"daily_fetch","2025-11-24","1763942400","12","Extreme fear"
"daily_fetch","2025-11-23","1763856000","10","Extreme fear"
"daily_fetch","2025-11-22","1763769600","10","Extreme fear"
"daily_fetch","2025-11-21","1763683200","11","Extreme fear"
"daily_fetch","2025-11-20","1763596800","15","Extreme fear"
"daily_fetch","2025-11-19","1763510400","16","Extreme fear"
"daily_fetch","2025-11-18","1763424000","15","Extreme fear"
"daily_fetch","2025-11-17","1763337600","17","Extreme fear"
"daily_fetch","2025-11-16","1763251200","18","Extreme fear"
"daily_fetch","2025-11-15","1763164800","16","Extreme fear"
"daily_fetch","2025-11-14","1763078400","22","Fear"
"daily_fetch","2025-11-13","1762992000","25","Fear"
"daily_fetch","2025-11-12","1762905600","26","Fear"
"daily_fetch","2025-11-11","1762819200","31","Fear"
"daily_fetch","2025-11-10","1762732800","29","Fear"
"daily_fetch","2025-11-09","1762646400","24","Fear"
"daily_fetch","2025-11-08","1762560000","25","Fear"
"daily_fetch","2025-11-07","1762473600","21","Fear"
"daily_fetch","2025-11-06","1762387200","24","Fear"
"daily_fetch","2025-11-05","1762300800","20","Fear"
"daily_fetch","2025-11-04","1762214400","27","Fear"
"daily_fetch","2025-11-03","1762128000","36","Fear"
"daily_fetch","2025-11-02","1762041600","35","Fear"
"daily_fetch","2025-11-01","1761955200","33","Fear"
"daily_fetch","2025-10-31","1761868800","31","Fear"
"daily_fetch","2025-10-30","1761782400","34","Fear"
"daily_fetch","2025-10-29","1761696000","39","Fear"
"daily_fetch","2025-10-28","1761609600","42","Neutral"
"daily_fetch","2025-10-27","1761523200","42","Neutral"
"daily_fetch","2025-10-26","1761436800","36","Fear"
"daily_fetch","2025-10-25","1761350400","34","Fear"
"daily_fetch","2025-10-24","1761264000","32","Fear"
"daily_fetch","2025-10-23","1761177600","28","Fear"
"daily_fetch","2025-10-22","1761091200","29","Fear"
"daily_fetch","2025-10-21","1761004800","33","Fear"
"daily_fetch","2025-10-20","1760918400","30","Fear"
"daily_fetch","2025-10-19","1760832000","27","Fear"
"daily_fetch","2025-10-18","1760745600","25","Fear"
"daily_fetch","2025-10-17","1760659200","28","Fear"
"daily_fetch","2025-10-16","1760572800","32","Fear"
"daily_fetch","2025-10-15","1760486400","37","Fear"
"daily_fetch","2025-10-14","1760400000","42","Neutral"
"daily_fetch","2025-10-13","1760313600","40","Neutral"
"daily_fetch","2025-10-12","1760227200","31","Fear"
"daily_fetch","2025-10-11","1760140800","35","Fear"
"daily_fetch","2025-10-10","1760054400","54","Neutral"
"daily_fetch","2025-10-09","1759968000","58","Neutral"
"daily_fetch","2025-10-08","1759881600","55","Neutral"
"daily_fetch","2025-10-07","1759795200","62","Greed"
"daily_fetch","2025-10-06","1759708800","59","Neutral"
"daily_fetch","2025-10-05","1759622400","58","Neutral"
"daily_fetch","2025-10-04","1759536000","59","Neutral"
"daily_fetch","2025-10-03","1759449600","57","Neutral"
"daily_fetch","2025-10-02","1759363200","51","Neutral"
"daily_fetch","2025-10-01","1759276800","42","Neutral"
"daily_fetch","2025-09-30","1759190400","43","Neutral"
"daily_fetch","2025-09-29","1759104000","39","Fear"
"daily_fetch","2025-09-28","1759017600","34","Fear"
"daily_fetch","2025-09-27","1758931200","34","Fear"
"daily_fetch","2025-09-26","1758844800","32","Fear"
"daily_fetch","2025-09-25","1758758400","41","Neutral"
"daily_fetch","2025-09-24","1758672000","39","Fear"
"daily_fetch","2025-09-23","1758585600","40","Neutral"
"daily_fetch","2025-09-22","1758499200","47","Neutral"
"daily_fetch","2025-09-21","1758412800","48","Neutral"
"daily_fetch","2025-09-20","1758326400","48","Neutral"
"daily_fetch","2025-09-19","1758240000","52","Neutral"
"daily_fetch","2025-09-18","1758153600","51","Neutral"
"daily_fetch","2025-09-17","1758067200","51","Neutral"
"daily_fetch","2025-09-16","1757980800","50","Neutral"
"daily_fetch","2025-09-15","1757894400","51","Neutral"
"daily_fetch","2025-09-14","1757808000","52","Neutral"
"daily_fetch","2025-09-13","1757721600","53","Neutral"
"daily_fetch","2025-09-12","1757635200","50","Neutral"
"daily_fetch","2025-09-11","1757548800","47","Neutral"
"daily_fetch","2025-09-10","1757462400","43","Neutral"
